id,full_name,date_of_birth
55,"Lauro Vitale",1990-01-30
86,"Matilde Ruggiero",1990-11-17
217,"Marieva Mariani",1990-08-30
247,"Marco Bruno",1990-08-12
306,"Maika Bianco",1990-01-04
320,"Fabiano Riva",1990-08-11
321,"Amedeo Valentini",1990-04-20
334,"Tolomeo Morelli",1990-03-30
352,"Eriberto Sartori",1990-10-14
359,"Harry Riva",1990-09-03
365,"Ursula Sanna",1990-09-02
410,"Pietro Ruggiero",1990-05-11
430,"Harry Russo",1990-03-23
443,"Marino Sartori",1990-10-12
487,"Cira Costantini",1990-04-12
519,"Damiana Farina",1990-01-12
527,"Elda Mariani",1990-04-29
528,"Maika Barbieri",1990-04-29
582,"Augusto Costantini",1990-07-31
624,"Cira De rosa",1990-04-26
635,"Boris Riva",1990-12-28
638,"Marcella De rosa",1990-08-29
695,"Boris Martinelli",1990-02-25
710,"Egisto Amato",1990-06-07
787,"Laura Coppola",1990-06-11
857,"Prisca De luca",1990-03-12
877,"Samira Giuliani",1990-03-08
912,"Flaviana Costa",1990-02-06
919,"Secondo Lombardo",1990-08-09
1007,"Oreste Bianco",1990-07-08
1122,"Kociss De Angelis",1990-06-01
1123,"Albino Riva",1990-11-13
1130,"Mirko Coppola",1990-02-10
1162,"Tancredi Guerra",1990-05-02
1181,"Enrica Bruno",1990-07-13
1190,"Gianmarco Rizzo",1990-08-26
1214,"Miriana Negri",1990-08-15
1227,"Rodolfo Rossetti",1990-05-21
1291,"Iacopo Sorrentino",1990-06-20
1343,"Cosetta Martino",1990-01-06
1376,"Artemide Bianco",1990-12-21
1442,"Nayade Bellini",1990-11-18
1486,"Ethan Neri",1990-07-08
1496,"Davis Ferrara",1990-05-09
1497,"Olimpia Serra",1990-07-25
1505,"Brigitta Rinaldi",1990-11-14
1564,"Laura Cattaneo",1990-01-26
1572,"Ruth Guerra",1990-07-31
1599,"Selvaggia Ferri",1990-04-26
1657,"Nazzareno Fabbri",1990-02-06
1673,"Lucia Martini",1990-11-18
1687,"Furio Battaglia",1990-10-30
1695,"Carlo D'angelo",1990-11-26
1715,"Tolomeo Piras",1990-09-17
1739,"Raniero De rosa",1990-07-04
1771,"Danthon Longo",1990-05-03
1855,"Erminia Sala",1990-06-01
1885,"Giacinta Galli",1990-04-17
1921,"Ortensia Sartori",1990-04-05
1946,"Costanzo Morelli",1990-12-18
1978,"Elio Ferrari",1990-10-16
1979,"Ubaldo Galli",1990-09-12
1997,"Rufo Greco",1990-03-03
2028,"Rosalino Messina",1990-08-05
2061,"Violante Santoro",1990-01-10
2104,"Samira Rizzo",1990-05-07
2184,"Morgana Esposito",1990-05-30
2232,"Rudy Caruso",1990-05-24
2262,"Germano Pagano",1990-03-27
2289,"Elga Damico",1990-12-18
2323,"Kristel Parisi",1990-10-21
2397,"Vania Guerra",1990-09-14
2407,"Rita Valentini",1990-08-14
2459,"Samira D'angelo",1990-06-28
2460,"Manuele Bianco",1990-10-16
2472,"Donatella Martini",1990-04-22
2511,"Folco Sala",1990-01-03
2540,"Iacopo Vitale",1990-04-29
2559,"Pablo Giuliani",1990-04-26
2615,"Cleros Santoro",1990-06-08
2616,"Silverio Messina",1990-02-27
2627,"Damiana Russo",1990-12-04
2674,"Primo D'angelo",1990-05-25
2700,"Dindo Montanari",1990-04-04
2715,"Amos Barone",1990-05-14
2763,"Monia Galli",1990-07-19
2779,"Assia Morelli",1990-07-07
2807,"Boris Mazza",1990-10-17
2901,"Olimpia Piras",1990-01-28
2947,"Jole Pellegrini",1990-09-20
2949,"Ivano Farina",1990-04-01
2971,"Lauro Galli",1990-04-29
2995,"Iacopo Lombardo",1990-05-09
