id,degree_id,name,surname,date_of_birth,fiscal_code,enrolment_date,registration_number,email
5,18,Miriana,Conte,1995-12-19,QHSHDB60C81O520M,2019-05-31,620037,hmonti@yahoo.com
7,47,Manfredi,Mazza,1995-07-15,DKEYPV17Q01I787U,2019-04-08,620039,pellegrini.luna@deangelis.net
19,30,Kociss,Caputo,1997-11-14,OAPDVP63P60H590Y,2021-05-30,620051,secondo05@yahoo.it
24,70,Eriberto,Morelli,2001-01-08,ZGJLMB14T77J767V,2020-01-28,620056,romano.nestore@conte.com
26,29,Elio,Messina,1995-08-05,DMCIKD77G00Y665Z,2020-10-16,620058,onegri@costantini.net
30,67,Gastone,Costa,1996-07-11,BIEEGE15J57P460H,2020-10-13,620062,besposito@caputo.it
33,33,Iacopo,Greco,2000-01-23,JECAZU29U94X231C,2019-06-17,620065,fortunata10@rizzo.it
36,36,Marco,Palmieri,1997-07-29,OKSMMT35X63T499K,2019-10-23,620068,evita26@caputo.it
39,70,Fiorentino,Vitale,1998-06-09,IABIZY88Y37G643Q,2018-12-21,620071,martini.sarita@testa.com
45,20,Grazia,Grasso,1997-11-29,BOGZOU43X32C939Z,2018-12-20,620077,yferri@email.it
48,68,Morgana,Sala,1998-05-21,YXZGNW91Y68I700X,2019-09-30,620080,lucia.pellegrino@gmail.com
50,30,Samira,Mancini,1999-02-22,WDTPKP61N13Y605K,2019-12-29,620082,upiras@yahoo.com
51,45,Ursula,Pagano,1997-07-01,QOYLZK92X83I382V,2020-03-01,620083,nfiore@martinelli.com
53,51,Gavino,Greco,1996-06-11,ZJOGRI80M27M159X,2019-03-11,620085,villa.alessandro@amato.com
63,25,Ruth,Orlando,1995-12-10,SSNBOA76I63W122A,2021-01-25,620095,deangelis.samira@silvestri.org
65,60,Olimpia,Palumbo,1999-01-27,KDUNRU52L86F124A,2019-03-07,620097,cdeangelis@bernardi.org
67,38,Violante,Greco,1995-07-22,GQVHFH26L56Y326X,2021-04-25,620099,tfontana@serra.com
70,39,Vera,Ferrara,1997-07-05,JGVMOT56Z07O929T,2019-11-03,620102,russo.hector@hotmail.com
71,19,Mariapia,Rizzo,2001-01-14,DVNFUB69E02W966Q,2020-05-27,620103,soriana.damico@hotmail.com
78,38,Maria,Testa,2002-05-31,IJHSNC91B42A238R,2019-04-11,620110,rmorelli@ferrara.org
79,45,Jelena,Vitale,1999-09-27,SDWDFB33K47D605G,2020-11-23,620111,zcoppola@marino.it
88,51,Ermes,Conte,1996-03-14,OJYQBN17Y93L484F,2019-05-15,620120,tristano04@yahoo.com
95,24,Fortunata,Conti,1997-09-13,QSYYTT90H01T980T,2021-03-03,620127,nruggiero@hotmail.com
96,57,Akira,Galli,2001-08-11,LVERXY67Y76B301B,2020-03-04,620128,svitale@pellegrino.org
97,51,Sasha,Ferri,2001-12-04,XHIJMF74Q91Y849D,2019-08-20,620129,villa.zelida@palumbo.org
118,9,Grazia,Ferraro,1996-02-11,SFPJEF49F79K118C,2019-12-10,620150,maika51@gmail.com
120,43,Tazio,D'amico,1998-03-24,SQDGMI89T99O611M,2019-02-13,620152,flaviana24@grasso.com
122,22,Matilde,Santoro,2001-02-26,SJRCHC53A70E416O,2018-08-19,620154,wcaputo@martini.com
124,8,Folco,Neri,1999-02-16,IOYAVT74G73A030D,2021-06-07,620156,cbianco@yahoo.it
126,4,Fatima,"De Santis",1996-05-07,TKTAOV57X86N008G,2020-09-08,620158,rodolfo.messina@santoro.net
129,36,Giuliano,Ferrari,1999-09-12,GZALTH67Z84T140Q,2020-02-23,620161,bernardi.michael@martini.it
133,67,Furio,Gallo,1995-12-01,GZWYPC44Y97C293Z,2019-01-04,620165,marchetti.benedetta@benedetti.it
141,55,Radio,Farina,1999-02-01,QOQGFV42B05E131P,2019-05-09,620173,zbasile@ruggiero.com
142,68,Kristel,"De Angelis",2000-01-08,JVCIRW54S61M251W,2019-03-28,620174,mfarina@email.it
144,62,Marina,Ferrari,2002-04-25,EXPFVK93I72D485Y,2019-01-15,620176,cgentile@romano.net
157,48,Vera,Messina,1999-08-19,QCIMOE73T52O030R,2019-10-01,620189,walter05@derosa.com
161,67,Gelsomina,Bianco,1997-04-02,ADUYFW05K59F981Q,2018-11-27,620193,ruth99@libero.it
164,75,Monia,Sartori,1999-10-08,CGPSDQ35Q08U230H,2019-02-16,620196,dangelo.egidio@mariani.org
165,65,Violante,Russo,1998-09-04,QDQZBN14M55W727O,2020-05-30,620197,krossetti@yahoo.it
168,16,Antonino,Costa,2001-12-02,MPYLSR50H36L568Q,2019-07-13,620200,wpellegrino@hotmail.com
172,25,Rosita,Villa,1999-11-09,FFTXED76A90W691V,2020-10-16,620204,rita53@giordano.com
173,27,Rosalba,Galli,2001-06-18,DEEHNR92L98F446A,2018-08-13,620205,montanari.armando@coppola.net
175,59,Demi,Russo,1996-01-20,CPSYVP27Z47Q073G,2020-03-05,620207,ebarbieri@gmail.com
177,34,Tosca,Bellini,1999-11-19,BAAQEI35K54C784U,2021-04-26,620209,kbianchi@negri.it
179,15,Fernando,"De rosa",1996-05-01,ACOSVK28J43V558T,2019-01-16,620211,valdo48@libero.it
181,24,Radio,Villa,2000-05-16,NNPPRD81V24C291D,2021-03-04,620213,ursula37@yahoo.com
182,64,Loretta,"De luca",2000-04-11,QWTXCP60Q22R010H,2020-01-20,620214,eromano@libero.it
186,19,Elsa,Ruggiero,2002-05-27,SYFHWN37Q57J330H,2020-11-28,620218,greco.romolo@gmail.com
187,24,Kociss,Monti,1999-12-13,ALRWMX71N69N052B,2019-12-29,620219,nsilvestri@desantis.com
191,18,Giovanna,Ferretti,1997-09-27,QPJIVS88K67I436V,2019-09-29,620223,selvaggia.vitali@email.it
192,64,Fiorenzo,Giordano,1997-06-27,DLITYC87C63W621B,2020-08-13,620224,gpalmieri@yahoo.it
194,52,Modesto,Marchetti,2002-03-06,QCTSQY24B11Q504A,2020-08-22,620226,moretti.loris@libero.it
198,53,Ian,Gentile,1996-02-11,NFOBKU23P07P003A,2020-10-30,620230,renzo.fontana@caputo.com
204,44,Demi,Valentini,1996-11-28,MBDIRV51Q18D019W,2020-01-11,620236,ferraro.kris@yahoo.it
207,58,Carmela,Gallo,2000-09-05,WJJAYY37C39J095M,2020-02-23,620239,helga91@libero.it
208,72,Joshua,Rossetti,2000-09-21,LOJDOU36F41E785B,2018-06-24,620240,edesantis@yahoo.com
212,51,Rita,Ferrara,2000-06-29,JKGGHI72F66K683X,2020-08-09,620244,qbenedetti@vitali.net
216,41,Maruska,Russo,2002-02-27,UFWVSV94X68B092R,2020-09-13,620248,celeste.vitali@martinelli.org
218,11,Lidia,Serra,1997-10-11,VVEOAF12L43Q951Z,2019-08-11,620250,olo.bruno@colombo.com
219,54,Ubaldo,Romano,1997-11-21,SYDMLO33V18M455C,2018-08-29,620251,penelope.conte@valentini.com
222,52,Lazzaro,Martino,2000-11-13,IXYIKJ18R96H904D,2021-02-01,620254,flaviana.damico@hotmail.com
224,42,Diamante,Rizzo,1996-12-26,CBTDPO59V24F508I,2019-01-14,620256,anselmo40@martinelli.it
228,69,Demi,Donati,2001-07-25,UXAXDA53K17M253Z,2019-07-19,620260,eufemia65@email.it
229,14,Antonino,Neri,2001-05-05,XVXBIY62L61B780S,2020-07-24,620261,zmartino@yahoo.it
232,55,Sarita,Rinaldi,2001-01-02,RUUTNE01S53Y842N,2020-06-03,620264,samira90@lombardi.com
236,33,Lia,Martino,2002-05-02,HWQNEV33M38O023B,2021-01-29,620268,ninfa00@morelli.com
237,67,Walter,Benedetti,2000-09-04,WVKDPH52D76P821A,2020-05-27,620269,teseo84@hotmail.com
243,2,Cosetta,"De rosa",1996-01-07,HFMKTP52V27M335R,2019-12-13,620275,npalmieri@gmail.com
246,23,Luigi,Sala,1997-04-06,PGDBBX00B16T222H,2019-10-14,620278,tmonti@rizzi.com
250,17,Tazio,Ruggiero,1999-09-12,GFQVRP86N85E967J,2018-10-30,620282,fparisi@hotmail.com
253,18,Assia,Lombardo,2001-09-21,OSCTVH31R79T236D,2019-04-25,620285,negri.sueellen@ricci.it
256,35,Cira,Ruggiero,2001-05-02,DXAIME61Z31U128Q,2020-06-19,620288,edvige.villa@donati.org
265,20,Tommaso,Sorrentino,1997-03-05,RQZCDZ82U95T564A,2021-03-02,620297,spellegrini@basile.net
268,65,Arturo,Costantini,2001-05-19,OHIUQQ61G40R008V,2020-12-04,620300,vneri@yahoo.it
269,68,Yago,Grassi,1996-02-06,GZBVDO07I50E851L,2020-01-14,620301,prisca.lombardo@yahoo.com
272,16,Marianita,Mariani,1998-03-21,TLUYDA60A33G860P,2020-08-25,620304,deangelis.serse@barbieri.org
278,56,Michele,Silvestri,1999-12-03,RMRHOC54D26N010K,2019-07-05,620310,samira.grasso@email.it
283,73,Maruska,Sorrentino,2000-08-04,ZUUZJM11K17N171P,2019-07-22,620315,mariani.vera@dangelo.net
285,1,Eriberto,Battaglia,2001-11-26,SBLDVS88W97H267Q,2018-12-14,620317,kfabbri@longo.com
290,33,Enrico,Messina,1999-12-24,FYKIPD22G29H401Z,2018-10-18,620322,muzio.montanari@benedetti.com
297,13,Matteo,Ricci,2000-11-11,RYVNJM62T27J821N,2021-06-08,620329,hrossetti@libero.it
301,48,Gelsomina,Mancini,2001-12-21,YXAEFC66F64F233Q,2018-12-30,620333,corlando@riva.com
307,24,Tosca,Ruggiero,1995-09-15,JHNNMV20K49D397R,2018-06-26,620339,colombo.carmela@yahoo.com
316,23,Jari,Romano,1998-05-22,YLIKUH82B71I748I,2020-02-13,620348,deborah43@gmail.com
326,72,Flavio,Costantini,2001-08-07,SXQCXF76I00I546R,2019-08-10,620358,gianmaria.pellegrini@grasso.com
327,32,Vera,Longo,1996-06-26,VUHECX97Y46S054L,2020-04-08,620359,tpiras@email.it
332,52,Felicia,Sanna,1999-12-16,SWNPLL09M34D114N,2018-07-31,620364,giulio71@mariani.it
335,17,Gavino,Pellegrini,1999-10-09,ULOMAF30G06S641H,2020-06-17,620367,fmonti@hotmail.com
337,74,Arturo,Serra,1996-05-01,SQGKWN96G36E873O,2021-01-31,620369,marchetti.shaira@hotmail.com
343,55,Fulvio,Ruggiero,1998-11-03,UAMGNW31V49Z293C,2018-09-07,620375,dferri@pellegrini.it
346,53,Guido,Barbieri,2001-05-09,QIDXRR92W55K291T,2018-09-30,620378,vbellini@libero.it
347,26,Domingo,Messina,2002-04-21,TUWCLF09M81H009F,2018-07-08,620379,ciro91@yahoo.com
350,2,Marcella,Negri,1995-08-11,BRKDWK22S57H928E,2021-04-12,620382,testa.dante@deangelis.net
354,7,Elio,Ferrara,2000-06-28,HEPIGA62J99Z165H,2019-04-13,620386,sala.gerlando@libero.it
355,8,Flaviana,Fabbri,2001-05-04,QWOUTT99B32N868F,2018-08-18,620387,terzo30@fabbri.com
362,6,Jari,Romano,2002-03-01,VEPCUD99I05E386K,2020-04-13,620394,cirino97@esposito.it
363,58,Olo,Negri,1998-05-24,KLVSSK34J90B606Y,2020-12-16,620395,liborio05@email.it
366,57,Maika,Fabbri,2001-11-27,WKSYZZ59J27S031X,2019-07-18,620398,eustachio.rinaldi@palumbo.it
368,2,Mariano,Bernardi,2001-06-19,FBFCLE91Q31T467O,2020-06-28,620400,lamberto52@libero.it
